aave	Assist with Aave lending, borrowing, liquidations, and risk management across chains.
plants	Build a personal plant care system with watering schedules, care logs, and seasonal reminders.
plausible	Query Plausible Analytics API for traffic stats, referrers, conversions, and custom events.
play-store	Publish and optimize Android apps on Google Play with listing optimization, ASO keywords, and policy compliance.
playwright	Browser automation via Playwright MCP.
pocketbase	Build backends with PocketBase collections, auth, and realtime.
podcast	Create and grow podcasts by planning episodes, producing audio or video, generating clips, and building audience across formats.
podcasts	Track and synthesize podcasts with subscriptions, briefings, progress tracking, and smart alerts for new episodes and guests.
polars	Lazy and eager DataFrames with the Arrow memory model for fast single-machine analytics.
polish	Write Polish that sounds human.
polkadot	Assist with Polkadot DOT transactions, staking, parachains, and cross-chain transfers.
polygon	Assist with Polygon PoS and zkEVM transactions, bridging, gas tokens, and ecosystem navigation.
polymarket-cli	Query prediction markets, place trades, and manage positions with the Polymarket CLI for AI agents.
portugal	Discover Portugal like a local with specific restaurants, hidden gems, wine regions, and tips beyond the tourist traps.
portuguese	Write Portuguese that sounds human.
positioning	Defines how a product is framed relative to alternatives, covering the positioning statement, category choice, and competitive frame that anchors all messaging.
post-labor-economics	Model post-labor economies with automation shocks, distribution redesign, and policy portfolios across income, ownership, time, and services.
postman	Build, test, and automate APIs with Postman collections, environments, and Newman CLI.
postmortem	Blameless incident write-ups: timeline reconstruction, root-cause framing, and action items that actually ship.
powerpoint	Control PowerPoint app sessions, slides, notes, export, and presentation state with osascript workflows.
powerpoint-pptx	Create, inspect, and edit Microsoft PowerPoint presentations and PPTX decks with reliable layouts, templates, placeholders, notes, charts, and visual QA.
powershell	Avoid common PowerShell mistakes, output behavior, array traps, and comparison operator gotchas.
prayers	Build a personal prayer system for any faith tradition with scheduling, logging, and spiritual tracking.
prediction	Forecast uncertain outcomes with base rates, reference classes, calibration loops, and explicit scorekeeping.
pregnancy	Track pregnancy routines, symptoms, and clinical signals with flexible logs, weekly summaries, and safety-first triage for medical follow-up.
price	Track prices, detect deals and manipulation, time purchases, and make informed buying decisions as a consumer or business buyer.
pricing	Design pricing strategies for products, services, and subscriptions that maximize conversion and value.
pricing-strategy	Value-based pricing, tier design, willingness-to-pay research, and executing price changes.
prisma	Write efficient Prisma queries, design schemas, and avoid common ORM pitfalls.
proactivity	Anticipates needs, keeps work moving, and improves through use so the agent gets more proactive over time.
product	Build, visualize, and launch products with strategy frameworks, AI imagery tools, and marketplace optimization.
product-hunt	Launch, hunt, and research products on Product Hunt with timing, assets, engagement, and anti-manipulation practices.
product-launch	Orchestrates the announcement, assets, channels, and timing for shipping a product, covering the arc from teaser to launch day to post-launch momentum.
product-led-growth	Builds growth into the product itself, covering self-serve signup, in-product activation, and the loops that compound without a sales motion.
product-manager	Build products users love with discovery, prioritization, roadmapping, and cross-functional leadership.
product-market-fit	Measuring PMF with qualitative and quantitative signals and deciding when to scale spend.
product-owner	Manage backlogs, write user stories, define acceptance criteria, and maximize product value.
productivity	Plan, focus, and complete work with energy management, time blocking, goals, projects, tasks, habits, reviews, priorities, and context-specific productivity systems; use when (1) the user needs help with productivity, focus, time management, planning, priorities, goals, projects, tasks, habits, or reviews; (2) they want a reusable structure or workspace for organizing work; (3) ongoing work should be routed through a dedicated productivity framework.
profiling	CPU versus wall versus allocation profiles, sampling versus instrumentation, and reading flame graphs.
projects	Build a personal project management system that scales from simple lists to structured planning.
prom	Prometheus monitoring patterns, cardinality management, alerting best practices, and PromQL traps.
prompt-caching	Provider-native prompt caching across Anthropic, OpenAI, and Gemini to amortize prefix processing for repeated system prompts.
prompting	Write, test, and iterate prompts for AI models with voice preservation, model-specific adaptation, and systematic failure analysis.
property-valuation	Estimate property values using comps, income approach, and market analysis with adjustment calculations.
prototyping	Build believable prototypes in Figma, Framer, ProtoPie, and Origami to validate flows, motion, and edge cases before engineering invests.
psychologist	Provide empathetic emotional support with active listening and evidence-based techniques.
psychology	Navigate the mind from curiosity about behavior to clinical research.
pubmed	Search and evaluate biomedical literature with effective queries, filters, and critical appraisal.
pull-request	Create high-quality pull requests with pre-submission validation, maintainer-friendly formatting, and automated quality checks.
puppeteer	Automate Chrome and Chromium with Puppeteer for scraping, testing, screenshots, and browser workflows.
py	Write reliable Python avoiding mutable defaults, import traps, and common runtime surprises.
pytorch	Avoid common PyTorch mistakes, train/eval mode, gradient leaks, device mismatches, and checkpoint gotchas.
qdrant	Build vector search with Qdrant using collections, payloads, filtering, and optimized indexing for semantic similarity.
qlora	4-bit quantized LoRA training with NF4, double quantization, and paged optimizers for consumer GPUs.
qr	Generate, customize, and deploy QR codes with proper sizing, error correction, and use-case optimization.
query-optimization	Reading EXPLAIN plans, sargable predicates, and the join-order and statistics traps.
question	Ask better questions in any context with Socratic method, follow-up generation, and bias detection.
quiz	Design engaging quizzes with effective questions, scoring logic, and results that drive learning or conversions.
quizlet	Build high-yield Quizlet study sets, tune Learn and Test sessions, and improve weak cards with spaced repetition diagnostics.
quotes	Build a personal quotes system for saving, discovering, and automatically surfacing meaningful words.
qwen	Build and route Qwen chat, coding, reasoning, and vision workflows across hosted and self-hosted endpoints with safer debugging.
r	Avoid common R mistakes, vectorization traps, NA propagation, factor surprises, and indexing gotchas.
rag	Build, optimize, and debug RAG pipelines with chunking strategies, retrieval tuning, evaluation metrics, and production monitoring.
rag-chunking	Strategies for splitting documents into retrieval-friendly chunks: fixed, semantic, late chunking, and tuning chunk size to the embedding model.
rag-evaluation	Measuring retrieval and generation quality with RAGAS-style metrics: context relevance, faithfulness, answer relevance, and groundedness.
rails	Build reliable Rails apps avoiding ActiveRecord traps, N+1 queries, and callback pitfalls.
raspberry	Set up and maintain Raspberry Pi avoiding common hardware and configuration pitfalls.
rate-limiting	Token bucket, leaky bucket, sliding window, and per-user versus global limits backed by Redis.
react	Full React 19 engineering, architecture, Server Components, hooks, Zustand, TanStack Query, forms, performance, testing, production deploy.
react-native	Build performant cross-platform mobile apps with React Native components, navigation, and native modules.
reading	Help users read better, book recommendations, retention strategies, and matching reading approach to goals.
reading-scientific-papers	Efficient strategies for reading, comprehending, and critiquing primary research articles.
real-estate-agent	Your personal real estate agent.
real-estate-investing	Analyze real estate investments with conservative underwriting, financing stress tests, diligence gates, and exit planning.
real-estate-skill	Guide any property decision for buyers, sellers, landlords, investors, or agents in any jurisdiction.
recipe	Build a personal recipe collection with ingredients, scaling, and meal planning.
recommend	Context-aware recommendations.
recruiter	Source candidates, screen resumes, and manage hiring pipelines with effective recruiting practices.
redis-store	Use Redis effectively for caching, queues, and data structures with proper expiration and persistence.
refactoring	Fowler's catalog of behavior-preserving transformations: extract method, move feature, replace conditional with polymorphism, and the commit-granularity step sequence.
reflection	Learns when to stop and review.
regex	Write correct, efficient regular expressions across different engines.
remember	Curate persistent memory that actually helps.
remind	Auto-learns when and how to bring things back to your human's attention.
remote-desktop	Connect to remote desktops via RDP, VNC, and SSH X11 with secure tunneling and troubleshooting.
render-deploy	Deploy applications on Render with codebase analysis, render.yaml Blueprint generation, MCP direct provisioning, and post-deploy verification.
rental	Find, negotiate, and manage rentals as tenant, landlord, host, or guest with market analysis, scam detection, and lease review.
report	Configure custom recurring reports.
reproducibility	Practices for reproducible research including preregistration, shared data, transparent analysis, and reporting.
rest-api	Build production-ready REST APIs with contract-first design, secure auth, robust testing, and deployment runbooks.
restaurants	Build a personal restaurant system for tracking places to try, favorites, and dining memories.
resume	Adapt, diagnose, and optimize resumes to land interviews with ATS optimization, job-specific tailoring, and recruiter-tested tactics.
retention	User retention strategy, cohort analysis, churn prevention, and reactivation campaigns
reverse-engineering	Reverse engineer binaries, APIs, protocols, and workflows with evidence ladders, interface maps, and falsifiable hypotheses.
review-code	Review code with risk-first analysis, reproducible evidence, and patch-ready guidance for correctness, security, performance, and maintainability.
rlhf	Reinforcement learning from human feedback with PPO: reward modeling, KL control, and reference model anchoring.
roblox	Avoid common Roblox mistakes, server/client security, DataStore pitfalls, memory leaks, and replication gotchas.
robot	Build robots from hobby to industrial with hardware wiring, ROS2, motion planning, and safety constraints.
roleplay	Create persistent characters, run practice scenarios, and track progress across roleplay sessions with activation control and structured feedback.
romania	Plan Romania trips with regional contrasts, Transylvania and Black Sea logistics, local food cues, and practical local guidance.
romanian	Write Romanian that sounds human.
rome	Navigate Rome as visitor, expat, digital nomad, or entrepreneur with neighborhoods, transport, costs, visas, and Italian lifestyle insights.
ruby	Write reliable Ruby avoiding mutable string traps, block pitfalls, and metaprogramming bugs.
running	Training principles, pacing strategy, injury prevention, and race preparation for runners.
russian	Write Russian that sounds human.
rust	Write idiomatic Rust avoiding ownership pitfalls, lifetime confusion, and common borrow checker battles.
s3	Work with S3-compatible object storage with proper security, lifecycle policies, and access patterns.
saas	Build and scale profitable software-as-a-service with viral growth, retention, and monetization strategies.
saas-metrics	MRR, ARR, NRR, churn cohorts, magic number, and rule of 40 with consistent definitions.
safari	Control Safari on macOS with AppleScript, safaridriver, screenshots, tab navigation, and real-browser read, click, and type workflows.
salesforce-api-integration	Complete Salesforce REST API for SOQL queries, CRUD operations, Bulk API, Composite API, authentication, and standard objects with error handling.
san-francisco	Navigate San Francisco as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, and local insights.
sat	Prepare for the SAT with adaptive practice, score prediction, weak area targeting, and college admissions planning.
scale	Scale systems, software architecture, and companies with bottleneck mapping, staged leverage plans, and risk-aware execution loops.
scanner	Transform document photos into clean scanned-looking pages with automatic edge detection, cropping, and perspective correction.
schedule	Program recurring or one-time tasks.
scholar	Search academic literature with Google Scholar using effective queries, citations, and filters.
school	AI-powered education for K-12 students with parental controls, adaptive learning by age, homework help, exam prep, and progress tracking.
science	Guide scientific understanding from childhood wonder to research precision.
scipy	Solve optimization, statistics, signal processing, and linear algebra problems with SciPy recipes and ready-to-run code.
scrape	Legal web scraping with robots.txt compliance, rate limiting, and GDPR/CCPA-aware data handling.
screenshot	Capture, inspect, and compare screenshots of screens, windows, regions, web pages, simulators, and CI runs with the right tool, wait strategy, viewport, and output format.
screenshots	Create professional App Store and Google Play screenshots with automatic sizing, device frames, marketing copy, and iterative visual learning.
search-engine	Design and build any search engine with robust indexing, retrieval logic, relevance controls, and evaluation workflows for production systems.
seattle	Navigate Seattle as visitor, resident, or tech worker with neighborhoods, transport, costs, weather, and local insights.
second-order-effects	Analyze decisions by tracing consequences beyond immediate outcomes to second and third-order effects.
secretary	Manage calendar, draft communications, and track preferences with explicit confirmation before actions.
security-best-practices	Review code with secure-by-default standards, prioritize exploitable risks, and deliver minimal-diff fixes with evidence and regression checks.
self-criticism	Insert breakpoint self-critique before branching work, after user friction, and at risky handoffs so agents catch errors early.
self-direction	Your agent learns to think like you.
self-discipline	Guarantee instruction compliance with root cause analysis, flow verification, and automated validators that make future failures impossible.
self-evolving	Improve reusable agent workflows with reflective experiments, value checks, and local pattern memory.
self-host	Deploy and maintain self-hosted services with security, backups, and long-term reliability.
self-improving	Self-reflection + Self-criticism + Self-learning + Self-organizing memory.
sell	Price items accurately, create compelling listings, choose platforms, and handle negotiations.
sem	Search engine marketing strategy, keyword bidding, quality score optimization, and paid search campaign management
semantic-versioning	SemVer rules, the 0.x caveat, and the breaking-change discipline across libraries and platforms.
sentiment-tracker	Monitor brand sentiment, crypto opinions, and product perception across social media with automated tracking, alerts, and multi-entity dashboards.
seo	SEO specialist agent with site audits, content writing, keyword research, technical fixes, link building, and ranking strategies.
seoul	Navigate Seoul as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
serbian	Write Serbian that sounds human.
server	Configure, deploy, and troubleshoot web servers, application servers, and containerized services.
setup	Configure OpenClaw installations with optimized settings, channel setup, security hardening, and production recommendations.
seville	Navigate Seville as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, flamenco, and local insights.
shanghai	Navigate Shanghai as visitor, resident, student, or builder with practical neighborhoods, transport, costs, visas, and local operating rules.
shein	Shop Shein with price tracking, size guidance, quality assessment, and smart deal finding.
shelly	Control and automate Shelly devices with local RPC workflows, secure access modes, cloud API coordination, and safe multi-device execution.
shipping	Plan and manage parcel shipping decisions with carrier selection, landed-cost math, customs checks, and delivery exception playbooks.
shopping	Help users make better purchase decisions, research, comparison, timing, and avoiding buyer's remorse.
shows	Track movies and series with progress, watchlist, ratings, and proactive alerts for new releases and platform changes.
singapore	Navigate Singapore as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
siri	Control devices, run automations, and help users get more from Siri with HomeKit, Shortcuts, and voice command guidance.
six-thinking-hats	Analyze decisions using six perspectives with structured parallel thinking.
skill-builder	Create high-quality skills with modular structure, progressive disclosure, and token-efficient design.
skill-finder	Find, compare, and install agent skills across ClawHub and Skills.sh when the user needs new capabilities, better workflows, stronger tools, or safer alternatives.
skill-manager	Manage installed skills lifecycle: suggest by context, track installations, check updates, and cleanup unused.
skill-publish	Safely publish skills to ClawHub.
skill-test	Test skills before using or publishing.
skill-update	Safely update skills with preview, migration support, and user validation.
skool	Operate Skool communities with onboarding, classroom planning, calendar cadence, official automations, and safer member lifecycle workflows.
sleep	Coaches sleep with quantified protocols: insomnia triage, jet lag light timing, caffeine and melatonin cutoffs, shift work anchors.
slides	Create, edit, and automate presentations with programmatic tools, visual consistency, and project-based learning of user style preferences.
slovak	Write Slovak that sounds human.
slovenian	Write Slovenian that sounds human.
smart-home	Set up, automate, secure, and troubleshoot smart home devices with protocol selection, network isolation, and ecosystem-agnostic automation patterns.
smoking	Track smoking and nicotine use, reduce consumption, or quit with neutral logs, trigger mapping, and adaptive plans.
smtp	Send, test, and debug SMTP mail flows with safe dry runs, provider-aware auth, and deliverability checks.
sociology	Support sociological thinking from first observations to academic research.
software-architect	Design scalable systems with sound trade-offs, clear boundaries, and maintainable patterns.
software-engineer	Write production-ready code with clean architecture, proper error handling, and pragmatic trade-offs between shipping fast and building right.
solana	Assist with Solana transactions, token accounts, priority fees, and program interactions.
solidity	Avoid common Solidity mistakes, reentrancy, gas traps, storage collisions, and security pitfalls.
song	Write original songs with guided lyric development, chord progressions, melody contours, and AI music generator prompts for composers at any level.
sonoff	Control and automate SONOFF devices with eWeLink cloud workflows, LAN and DIY mode operations, and safe multi-device execution.
spaced-repetition	Scheduling review of material at expanding intervals to optimize long-term retention.
spain	Discover Spain like a local with specific restaurants, hidden gems, regional tips, and experiences beyond the tourist traps.
spanish	Write Spanish that sounds human.
speak	Converts agent replies into natural spoken output for any TTS engine with text normalization, prosody control, and voice preference learning.
speech-to-text-transcription	Transcribe audio and video files to text with speaker detection, timestamps, and format conversion.
spreadsheet	Read, write, and analyze tabular data with schema memory, format preservation, and multi-platform support.
sql	Write expert relational databases with SQL.
sqlite	Use SQLite correctly with proper concurrency, pragmas, and type handling.
ssl	Set up HTTPS, manage TLS certificates, and debug secure connection issues.
startup	Orchestrate startup work by spawning specialized agents and applying stage-appropriate priorities.
statistics	Build statistical intuition from basic probability to advanced inference.
stellar	Assist with Stellar XLM transactions, anchors, memo requirements, and cross-border payments.
stock-images	Source free stock photos and placeholder images with direct URLs for Unsplash, Pexels, Pixabay, and Lorem Picsum.
stock-market	Analyze stock market setups with thesis checks, catalyst mapping, risk controls, and explicit trade or no-trade decisions.
storage	Choose and architect storage systems for applications with the right tradeoffs.
store	Manage a physical store of any kind with opening routines, inventory control, staffing, cash discipline, merchandising, and weekly reviews.
storybook	Build component stories with proper args, controls, decorators, and testing patterns.
storytelling	Craft clear, emotionally resonant stories with audience-first framing, narrative arc control, and channel-specific rewrites.
strategy	Design robust strategies for any domain with proven frameworks, cognitive bias protection, and constraint-aware recommendations.
stripe-api-integration	Complete Stripe API integration for payments, subscriptions, checkout, invoices, webhooks, Connect, Issuing, Terminal, and Treasury.
structured-output	Constraining LLM outputs to JSON schemas, function calling, grammars, and constrained decoding for reliable tool use.
study	Structure study sessions, manage materials, and prepare for exams with active recall techniques.
studying	Plans and runs studying with retrieval practice, spaced review formulas, and exam countdown protocols.
subscriptions	Build a personal subscription tracker for managing recurring payments, renewals, and cutting waste.
sui-network	Assist with SUI transactions, object model, staking, and Move smart contracts.
summarizer	Distill content to its essence with audience-aware compression, format selection, and quality verification.
suno	Generate AI music with Suno via API or browser, with prompt engineering and song extensions.
svelte	Avoid common Svelte mistakes, reactivity triggers, store subscriptions, and SvelteKit SSR gotchas.
svg	Create and optimize SVG graphics with proper viewBox, accessibility, and CSS styling.
sweden	Plan Sweden trips with verified entry rules, region-specific routing, rail-ferry logistics, and practical seasonal safety.
swedish	Write Swedish that sounds human.
swift	Write safe Swift code avoiding memory leaks, optional traps, and concurrency bugs.
switzerland	Plan Switzerland trips with Alpine rail and mountain logistics, verified entry rules, scenic routing, and practical local execution.
sydney	Navigate Sydney as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, beaches, transport, visas, and local insights.
symphony	Set up and run OpenAI Symphony with isolated issue workspaces, workflow contracts, and unattended Codex orchestration for Linear projects.
symptoms	Build a private symptom tracker for logging health patterns and preparing for doctor visits.
sync	Synchronize files and directories between local, remote, and cloud storage reliably.
synology	Plan, harden, and recover Synology NAS and DSM setups with storage design, backup discipline, remote access, and Container Manager workflows.
synthesize	Combine multiple sources into unified insights with source tracking, conflict resolution, and coverage verification.
sysadmin	Manage Linux servers with user administration, process control, storage, and system maintenance.
systems-architect	Design infrastructure, networks, and cloud systems with integration, reliability, and security patterns.
tai-chi	Build tai chi practice plans, improve form, and track balance-focused sessions with safe progressions, concise coaching cues, and weekly reviews.
tailwindcss	Write Tailwind utility classes with proper responsive design, dark mode, and configuration.
taiwan	Plan Taiwan trips with city-specific food, rail, hot spring, and regional tips that avoid tourist filler and logistics mistakes.
talk	Set up real-time voice conversations.
tapo-camera	Connect to Tapo cameras, verify local access, capture snapshots, and inspect frames with local-first RTSP workflows and safe fallbacks.
task-list	Run a conversational task list with Inbox, Today, Upcoming, recurring tasks, waiting items, projects, and review loops that stay trustworthy.
taste	Develop refined aesthetic judgment by learning from human feedback, asking genuine questions about quality, and calibrating over time.
tattoo	Plan, research, and prepare for tattoos with artist discovery, design exploration, cultural research, and aftercare guidance.
taxi	Handle everything for ground transportation, from price comparison to booking, tracking, disputes, and expense management.
tdd	Red-green-refactor, the test quality it produces, and the domains where it slows you down.
teacher	Explain concepts clearly, adapt to learner levels, and guide understanding with effective teaching patterns.
tech-debt	Reckless versus prudent categorization, tracking the inventory, and a payoff cadence that does not freeze delivery.
technical-seo	Audits and fixes crawlability, indexability, site architecture, rendering, schema, and log files so content can actually rank.
telegram-bot-api	Build Telegram bots with correct API calls, message formatting, keyboards, and webhook setup.
temu	Shop smarter on Temu with price tracking, review analysis, scam detection, and shipping optimization.
tencent	Navigate Tencent products, Tencent Cloud services, and WeChat ecosystem decisions with region-aware planning and official-source verification.
tenerife	Navigate Tenerife as visitor, resident, digital nomad, or retiree with zones, transport, costs, residency, and local insights.
tensorflow	Avoid common TensorFlow mistakes, tf.function retracing, GPU memory, data pipeline bottlenecks, and gradient traps.
term-sheets	Reading and negotiating term sheets covering liquidation preferences, anti-dilution, pro-rata, and board composition.
terraform	Avoid common Terraform mistakes, state corruption, count vs for_each, lifecycle traps, and dependency ordering.
testflight	Distribute iOS and macOS beta builds with TestFlight, tester management, and CI/CD automation.
texas	Navigate Texas for living, moving, working, and road trips with region fit, state rules, weather risk, and daily logistics.
text	Transform, format, and process text with patterns for writing, data cleaning, localization, citations, and copywriting.
thai	Write Thai that sounds human.
thailand	Choose the best Thailand base for travel, remote work, expat life, or business with visa clarity, cost reality, and local operating playbooks.
therapist	Evidence-based therapeutic techniques, CBT, ACT, mindfulness, and reframing for anxiety, rumination, and behavioral patterns.
thermostat	Adjust temperatures, diagnose comfort issues, calculate energy savings, and automate schedules through voice commands or smart home integration.
threat-modeling	STRIDE, PASTA, data-flow diagrams, and design-time risk discovery.
threejs	Build 3D web experiences with proper resource management and performance patterns.
ticketmaster	Search Ticketmaster events, venues, and attractions with Discovery API filters, market-aware queries, and copy-ready curl and shell helpers.
tiktok-ads	TikTok advertising strategy, creative best practices, Spark Ads, and platform-specific optimization
time-blocking	Scheduling the day into dedicated blocks to defend focus, prevent drift and ship deep work.
time-management	Plan days, prioritize tasks, and protect focus time with time blocking, weekly reviews, and energy-aware scheduling.
timescaledb	Store and query time-series data with hypertables, compression, and continuous aggregates.
tinder	Coach Tinder goals with profile reviews, opener feedback, chat triage, and local experiments that improve matches and dates over time.
toefl	Prepare for the TOEFL iBT exam with progress tracking, weak area analysis, score prediction, and university targeting.
tokyo	Navigate Tokyo as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, culture, and local insights.
toml	Write valid TOML configuration files with correct types and structure.
tools	Learns your tool preferences while staying capable of using anything.
toronto	Navigate Toronto as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transit, costs, immigration, and local insights.
trader	Analyze markets, manage risk, and execute trades with disciplined strategies and emotional control.
trading	Trading analysis and education.
traditional-chinese	Write Traditional Chinese that sounds human.
traefik	Avoid common Traefik mistakes, router priority, TLS configuration, Docker labels syntax, and middleware ordering.
translate	Translate text accurately, preserve formatting, handle plurals, and adapt tone per locale.
travel	Build a personal travel system for dream destinations, trip planning, and travel memories.
travel-planning	Plan trips with itineraries, multi-city routing, budget optimization, family logistics, packing lists, and visa timelines.
trending-now	Monitor internet and social media trends with heartbeat topic watchlists, freshness scoring, and concise alerts on what changed and why it matters.
triage	Auto-learns to prioritize tasks by urgency, impact, and user patterns.
tripadvisor	Find and compare Tripadvisor hotels, restaurants, and attractions with official API workflows, URL-first navigation, and policy-safe data handling.
tron	Assist with TRON TRX transactions, bandwidth, energy, and TRC-20 token transfers.
turkey	Plan Turkey trips with city-coast-Cappadocia routing, verified entry rules, domestic transport strategy, and practical seasonal safety.
turkish	Write Turkish that sounds human.
tutor	Personalized tutoring for any age and subject with adaptive teaching, progress tracking, and parent oversight.
tuya	Control and automate Tuya Smart devices with official cloud APIs, secure request signing, region-aware routing, and safe command execution.
typescript	Write type-safe TypeScript with proper narrowing, inference patterns, and strict mode best practices.
typography	Set type for screen and print: measure, leading, tracking, optical sizes, weight axes, and the difference between display and text cuts.
uber-eats	Navigate Uber Eats in a live browser or app handoff to compare merchants, manage carts, and reach checkout safely.
udemy	Create, publish, and monetize Udemy courses with curriculum design, AI-assisted content creation, and platform compliance.
udio	Generate AI music with Udio via API wrappers or browser automation, with prompt engineering and song extensions.
ugc	Create viral user-generated content for marketing with effective hooks, formats, and creator strategies.
ui	Design clear, consistent, and visually polished user interfaces.
uk	Plan United Kingdom trips with nation-specific routing, ETA-aware entry rules, rail-road tradeoffs, and practical local logistics.
ukrainian	Write Ukrainian that sounds human.
umami	Deploy Umami analytics avoiding data loss, tracking failures, and integration issues.
uniswap	Assist with Uniswap swaps, liquidity provision, and avoiding common DeFi losses.
unit-economics	Decomposing CAC, LTV, payback, and contribution margin to find the path to profitable growth.
united-states	Plan United States trips with region-specific routing, verified entry rules, transport logistics, and practical tourist safety.
unity	Avoid common Unity mistakes, lifecycle ordering, GetComponent caching, physics timing, and Unity's fake null.
university	Replace or complement traditional university with AI-powered degree programs, adaptive learning, exam preparation, and progress tracking.
unreal-engine	Avoid common Unreal mistakes, garbage collection, UPROPERTY macros, replication authority, and asset reference pitfalls.
upwork	Win freelance projects on Upwork with profile optimization, proposal writing, client communication, and scam detection.
urdu	Write Urdu that sounds human.
usability-testing	Run moderated and unmoderated usability tests: task design, think-aloud protocol, sample size math, and separating "can't" from "won't" findings.
use-cases	Discover what AI agents can do for you with practical examples by role, task type, and skill level.
usmle	Prepare for US medical licensing exams with progress tracking, weak area analysis, question bank management, and residency match planning.
utrecht	Navigate Utrecht as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
ux	Design and analyze user experiences that are intuitive, efficient, and aligned with user mental models.
ux-researcher	Generate user personas, pain points, journey maps, and UX recommendations without conducting interviews.
valencia	Navigate Valencia as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
value-proposition	Crafts the crisp promise of outcome for a specific buyer, covering segmentation by persona and differentiation from the next best alternative.
vancouver	Navigate Vancouver as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transit, costs, immigration, and local insights.
vector-databases	Selecting and operating Pinecone, Weaviate, Milvus, Qdrant, and pgvector by index, scale, and filter needs.
venice	Navigate Venice as visitor or resident with neighborhoods, transport by water, costs, local insights, and authentic experiences beyond tourist traps.
venture-capital	Evaluate startups, structure deals, and make investment decisions with VC frameworks and due diligence patterns.
veterinary	Support veterinary understanding from pet care to clinical practice and research.
vibe-clawing	Transition from vibe coding to vibe clawing by trusting agents with full responsibilities, designing self-closing loops, and climbing the bottleneck ladder.
vibe-coding	Build software with AI by describing what you want.
vibe-design	Create visual designs with AI tools.
vibe-marketing	Run marketing campaigns with AI automation.
vibe-research	Conduct AI-led research with autonomous literature review, hypothesis generation, analysis, and synthesis while human provides vision.
video	Process, edit, and optimize videos for any platform with compression, format conversion, captioning, and repurposing workflows.
video-captions	Generate professional captions and subtitles with multi-engine transcription, word-level timing, styling presets, and burn-in.
video-downloader	Download online videos with quality and format controls using yt-dlp for reliable local saves.
video-edit	Edit videos with AI background removal, color grading, upscaling, stabilization, and enhancement tools.
video-generation	Create AI videos with Sora 2, Veo 3, Seedance, Runway, and modern APIs using reliable prompt and rendering workflows.
vienna	Navigate Vienna as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, and local insights.
vietnamese	Write Vietnamese that sounds human.
vinted	Buy and resell on Vinted with listing systems, price discipline, shipping workflows, and trust-first handling for offers, bundles, and disputes.
violin	Violin practice strategies, technique correction, intonation development, and progress tracking.
vite	Configure and optimize Vite for development, production builds, and library bundling.
vllm	PagedAttention, continuous batching, and quantized serving configuration for high-throughput LLM inference on GPUs.
voice-notes	Organize voice message transcripts into a structured, searchable knowledge base with tags, links, and progressive note-taking.
vpn	Configure and troubleshoot VPN connections for privacy and remote access.
vps	Provision, secure, and manage virtual private servers with practical hosting guidance.
vr	Set up VR headsets, troubleshoot common issues, optimize comfort, and recommend experiences by use case.
vscode	Avoid common VSCode mistakes, settings conflicts, debugger setup, and extension clashes.
vue	Build Vue 3 applications with Composition API, proper reactivity patterns, and production-ready components.
walmart	Plan Walmart grocery and household orders with pickup timing, substitutions, repeat restocks, and budget-aware cart decisions.
wardrobe	Build a personal wardrobe system for cataloging clothes, planning outfits, and mindful shopping.
water	Tracks daily water intake from casual mentions with container calibration, weight-based targets, and exercise and heat adjustments.
wcag-compliance	Navigate WCAG 2.1 and 2.2 success criteria by level, map them to UI patterns, document conformance evidence, and prepare VPAT and ACR submissions.
weaviate	Build vector search with Weaviate using v4 syntax, proper module configuration, and production-ready patterns.
web	Build, debug, and deploy websites with HTML, CSS, JavaScript, modern frameworks, and production best practices.
webflow	Build, launch, and optimize Webflow sites with responsive design, CMS architecture, and clean handoffs.
webhook	Implement secure webhook receivers and senders with proper verification and reliability.
website	Build fast, accessible, and SEO-friendly websites with modern best practices.
websocket	Implement reliable WebSocket connections with proper reconnection, heartbeats, and scaling.
wedding-planner	Plan weddings with budget guardrails, guest-list scenarios, vendor scorecards, payment tracking, and deadline-driven coordination.
welsh	Write Welsh that sounds human.
whatsapp-business-api	Complete WhatsApp Business Cloud API for messages, templates, media, webhooks, flows, and business profiles.
whop	Run and grow a Whop business with better offers, checkout flows, promo strategy, affiliates, ads, tracking, analytics, support operations, and advanced API workflows when needed
wifi	Troubleshoot and secure wireless networks with channel optimization and diagnostics.
wiki	Build wikis people actually read, structure pages, cross-link, and keep content fresh.
wiki-js	Deploy and manage Wiki.js documentation sites avoiding common configuration traps.
windmill	Build automation workflows and internal tools with Windmill's code-first platform.
